GABP1_MOUSE.H10MO.C.bed,0.446531791908,309,692,34619,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;1;1;2;1;1;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOX2_MOUSE.H10MO.A.bed,0.441379310345,384,870,42752,1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;3;1;2;2;2;1;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
PO5F1_MOUSE.H10MO.A.bed,0.429240862231,458,1067,46247,1;1;0;0;0;1;0;0;0;3;1;1;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;3;3;0;1;1;1;0;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;2
KLF4_MOUSE.H10MO.C.bed,0.418626707132,2207,5272,50046,1;0;0;0;0;1;0;2;0;0;0;1;2;2;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;3;2;1;1;1;4;1;2;1;2;6;7;2;7;3;11;7;7;5;7;8;3;9;4;10;5;3;4;2;1;3;3;0;1;3;4;0;1;1;1;0;5;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;2;0;1;0;1;0;0;2
FOS_MOUSE.H10MO.A.bed,0.407164179104,682,1675,45413,2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;2;4;3;1;0;4;0;1;1;1;0;0;0;1;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1
FOXI1_MOUSE.H10MO.B.bed,0.402816901408,572,1420,44276,3;0;1;2;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;2;1;2;3;2;1;0;2;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1
ELK4_MOUSE.H10MO.B.bed,0.397660818713,204,513,34526,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ERG_MOUSE.H10MO.A.bed,0.39349112426,133,338,35083,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
USF1_MOUSE.H10MO.A.bed,0.38188277087,215,563,35001,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;3;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
RFX1_MOUSE.H10MO.C.bed,0.375789184738,1369,3643,42888,1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;4;2;1;3;4;3;6;2;3;2;3;4;7;5;11;4;1;2;1;3;3;1;1;3;1;0;4;0;1;1;3;1;0;1;1;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
